ts_code,chairman,manager,secretary,reg_capital,setup_date,province,city
002787.SZ,李炳兴,张辛易,邵娜,31597.514,19980623,江苏,苏州市
300858.SZ,刘晓军,刘晓军,张凌宇,8251.7692,20030905,北京,北京市
300795.SZ,潘建军,方欢胜,姚宗宪,10016.4,20100630,浙江,杭州市
002955.SZ,邢修青,王京,孙晓蔷,23645.4451,20100528,北京,北京市
300709.SZ,王明喜,王明喜,黄逸超,11555.986,20041129,江苏,常州市
300291.SZ,方刚,方刚,李倩,91899.6518,20020619,北京,北京市
002757.SZ,詹谏醒,詹任宁,杨建林,29546.8065,19960503,广东,东莞市
300561.SZ,陈喆,陈喆,孙玉玲,25245.0683,20050126,广东,珠海市
002602.SZ,王苗通,王一锋,郦冰洁,745255.6968,20051031,浙江,绍兴市
300227.SZ,侯若洪,侯若洪,张洪宇,49686.6493,20051025,广东,深圳市
300632.SZ,林瑞梅,林文坤,张金燕,30722.6243,19941207,福建,厦门市
300308.SZ,王伟修,刘圣,王军,71301.6281,20050627,山东,烟台市
002619.SZ,王双义,王双义,李斐,184489.6231,20010626,浙江,金华市
002884.SZ,王海波,王海波,刘子庚,25388.2265,19930515,广东,阳江市
300155.SZ,张波,张波,黄伟宁,54337.0602,20041229,广东,广州市
002729.SZ,杨力,杨力,马志容,6668,19920523,福建,厦门市
300534.SZ,康海军,康永红,元勤辉,30334.5,20020603,甘肃,兰州市
002867.SZ,周宗文,周宗文,何小林,73081.5601,20071015,广东,深圳市
300403.SZ,石华山,石华山,石胜美,60300,20021126,广东,江门市
300735.SZ,唐建兴,唐建兴,徐宇晟,77462.112,19950324,广东,惠州市
300320.SZ,钱振宇,钱振宇,胡蕴新,60123.4191,19980410,江苏,无锡市
002820.SZ,李铭祥,李铭祥,黄靓雅,20480,19940920,天津,天津市
