code2,名称,总市值
x300826,测绘股份,2268800000
x000430,张家界,2271027200
x000705,浙江震元,2272038300
x603880,南卫股份,2274318000
x603726,朗迪集团,2276083700
x300808,久量股份,2276800000
x000595,*ST宝实,2277312700
x002877,智能自控,2277774900
x300519,新光药业,2278400000
x603161,科华控股,2281140000
x603099,长白山,2282695200
x002671,龙泉股份,2284729400
x603038,华立股份,2285076500
x002790,瑞尔特,2288259600
x300584,海辰药业,2288400000
x600322,天房发展,2288799000
x000678,襄阳轴承,2288866700
x600289,*ST信通,2290719000
x688600,皖仪科技,2290781200
x603602,纵横通信,2291215300
x002816,和科达,2292000000
x600892,*ST大晟,2293803200
x002005,ST德豪,2294136000
x688668,鼎通科技,2295374400
x002148,北纬科技,2297041300
x300849,锦盛新材,2298000000
x603500,祥和实业,2298492000
x600097,开创国际,2298534800
x600725,ST云维,2304718900
x002771,真视通,2305307500
x300165,天瑞仪器,2311007500
x603922,金鸿顺,2311680000
x603603,博天环境,2314523700
x002715,登云股份,2315640000
x600530,*ST交昂,2316600000
x002566,益盛药业,2316661200
x300306,远方信息,2318424700
x300407,凯发电气,2318700500
x300150,世纪瑞尔,2322871000
x300247,融捷健康,2323676500
x300419,浩丰科技,2324203800
x688090,瑞松科技,2324613900
x000716,黑芝麻,2328718600
x300621,维业股份,2330809600
x300781,因赛集团,2332497800
x300500,启迪设计,2332800100
x300537,广信材料,2333703500
x003023,彩虹集团,2333721600
x300540,深冷股份,2334234100
x300592,华凯创意,2335031400
x300449,汉邦高科,2338349800
x300780,德恩精工,2339386500
x600356,恒丰纸业,2342054000
x603773,沃格光电,2345023800
x603536,惠发食品,2346243900
x603918,金桥信息,2348092500
x002902,铭普光磁,2349900000
x000677,恒天海龙,2350020000
x688618,三旺通信,2352054900
x605255,天普股份,2353104000
x300013,新宁物流,2354041100
x603066,音飞储存,2354503700
x300521,爱司凯,2358720000
x300730,科创信息,2359315300
x002927,泰永长征,2361888700
x300086,康芝药业,2362500000
x300795,米奥会展,2365873700
x601007,金陵饭店,2367000000
x300817,双飞股份,2367929500
x002476,宝莫股份,2368440000
x300283,温州宏丰,2369001900
x603086,先达股份,2371010400
